# filename,n,m,best_k,enabled

# Small tests

testcase1.txt,7,10,3,1

# DIMACS benchmarks

dsjc250.5.col,250,31336,28,1
dsjc500.1.col,500,12458,12,1
dsjc500.5.col,500,62624,48,1
dsjc500.9.col,500,224874,126,1
dsjc1000.1.col,1000,49629,20,1
dsjc1000.5.col,1000,249826,85,1
dsjc1000.9.col,1000,449449,223,1

r250.5.col,250,14849,66,0
r1000.1c.col,1000,485090,98,0
r1000.5.col,500,121275,234,0
dsjr500.1c.col,1000,238267,84,0
dsjr500.5.col,500,58862,122,0
le450_25c.col,450,17343,25,0
le450_25d.col,450,17425,25,0

flat300_28_0.col,300,21695,28,0
flat1000_50_0.col,1000,245000,50,0
flat1000_60_0.col,1000,245830,60,0
flat1000_76_0.col,1000,246708,85,0
latin_square.col,900,307350,99,0
